,model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
30,MLP,Adiac,time_series,e11,0,uniform,completeness,1.0,3.215284824371338,0.1355498731136322,3.215284824371338,0.2838874757289886,0.3657289147377014,1.0,0.0460358038544654,0.7022222280502319,0.1355498731136322,2000,390,1.0,390,Image,37,SIMPLE_MLP,176,1,1,0.0013919742995088,289.0337767601013,608037,c7bd97f4-656b-475c-bc49-31dc7c7b820c,True
31,MLP,Adiac,time_series,e11,0,uniform,completeness,0.9,3.663771152496338,0.0230179019272327,3.663771152496338,0.1253196895122528,0.1764705926179886,0.0,0.0,0.4924428164958954,0.0230179019272327,244,358,0.917948717948718,390,Image,37,SIMPLE_MLP,176,1,1,0.0001643823660657,34.63253569602966,608037,a1816423-c0ad-4870-a80c-ce21f54b1394,True
32,MLP,Adiac,time_series,e11,0,uniform,completeness,0.8,3.2808048725128174,0.1253196895122528,3.2808048725128174,0.2787723839282989,0.3299232721328735,1.0,0.040920715779066,0.6846007108688354,0.1253196895122528,2000,299,0.7666666666666667,390,Image,37,SIMPLE_MLP,176,1,1,0.0012537996146234,262.9567587375641,608037,52b8dc11-76cd-49e2-9ebc-c22b561a162a,True
33,MLP,Adiac,time_series,e11,0,uniform,completeness,0.7,3.3256239891052246,0.1278772354125976,3.3256239891052246,0.1969309449195861,0.2736572921276092,1.0,0.0358056277036666,0.6581620573997498,0.1278772354125976,2000,282,0.7230769230769231,390,Image,37,SIMPLE_MLP,176,1,1,0.0012525838009359,262.970240354538,608037,16e5ab85-4993-42ee-8c3d-ec12243810b5,True
34,MLP,Adiac,time_series,e11,0,uniform,completeness,0.6,3.642216920852661,0.0230179019272327,3.642216920852661,0.0588235296308994,0.0920716077089309,0.0,0.0,0.4833820462226867,0.0230179019272327,383,224,0.5743589743589743,390,Image,37,SIMPLE_MLP,176,1,1,0.0001813881949261,37.91280174255371,608037,13abd415-6079-402f-8266-ee2978522901,True
35,MLP,Adiac,time_series,e11,0,uniform,completeness,0.5,3.640190839767456,0.0306905377656221,3.640190839767456,0.0818414315581321,0.1278772354125976,0.0,0.0,0.5073530077934265,0.0306905377656221,338,203,0.5205128205128206,390,Image,37,SIMPLE_MLP,176,1,1,0.0001523814624587,31.79257369041443,608037,7c0ae2da-89aa-4097-9dc1-5042d99dd6fd,True
36,MLP,Adiac,time_series,e11,0,uniform,completeness,0.4,3.5405280590057373,0.115089513361454,3.5405280590057373,0.2225063890218734,0.2992327511310577,1.0,0.0230179019272327,0.5864048600196838,0.1150895208120346,2000,161,0.4128205128205128,390,Image,37,SIMPLE_MLP,176,1,1,0.0009639849786666,202.95381259918213,608037,fe186c5f-3ad2-4165-bdec-4a735d83e82c,True
37,MLP,Adiac,time_series,e11,0,uniform,completeness,0.3,3.651819467544556,0.0306905377656221,3.651819467544556,0.107416883111,0.1508951336145401,0.0,0.0,0.504145622253418,0.0306905377656221,588,105,0.2692307692307692,390,Image,37,SIMPLE_MLP,176,1,1,0.0002344549357307,49.48225402832031,608037,f157c286-0e8a-49f3-b5ef-3c276cc65f81,True
38,MLP,Adiac,time_series,e11,0,uniform,completeness,0.2,3.706134080886841,0.0179028138518333,3.706134080886841,0.0716112554073333,0.115089513361454,0.0,0.0,0.4871882796287536,0.0179028138518333,627,69,0.1769230769230769,390,Image,37,SIMPLE_MLP,176,1,1,0.0002610738454714,54.867262840271,608037,b65bdd7d-577a-4a6f-ae11-745c09ef9836,True
54,MLP,Adiac,time_series,e11,1,uniform,completeness,1.0,3.2723729610443115,0.138107419013977,3.2723729610443115,0.2813299298286438,0.3529411852359772,1.0,0.0434782616794109,0.6772365570068359,0.138107419013977,2000,390,1.0,390,Image,37,SIMPLE_MLP,176,1,1,0.0013460627680259,279.8559021949768,608037,f39d0f09-35fe-4fd3-a477-72a9b534be5d,True
55,MLP,Adiac,time_series,e11,1,uniform,completeness,0.9,3.2710628509521484,0.1406649649143219,3.2710628509521484,0.2787723839282989,0.3580562770366668,1.0,0.0358056277036666,0.6804393529891968,0.1406649649143219,2000,356,0.9128205128205128,390,Image,37,SIMPLE_MLP,176,1,1,0.0012764813488465,262.9111912250519,608037,9a9d12f8-ba1e-4ad9-9cf1-0762927476ab,True
56,MLP,Adiac,time_series,e11,1,uniform,completeness,0.8,3.324838876724243,0.1048593372106552,3.324838876724243,0.2097186744213104,0.2915601134300232,0.9166666865348816,0.0281329918652772,0.6526838541030884,0.1048593372106552,2000,320,0.8205128205128205,390,Image,37,SIMPLE_MLP,176,1,1,0.0012692893788951,262.93569898605347,608037,1f4fe1ed-e14e-4674-85e8-2c8f20a6ca90,True
