model,dataset,dataset_type,iteration,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,dimensions,emissions_kg,duration,n_parameters,project_id,ready,data_quality_dimension,data_quality_dimension_percentage,experiment_method,datapoint_w,datapoint_h,model_type,experiment
FCN,ChlorineConcentration,time_series,0,0.9671172499656676,0.6697916388511658,0.9671172499656676,1.0,1.0,0.6802610158920288,0.651562511920929,0.8326998949050903,0.6697916388511658,522,362,0.7751605995717344,467,Sensor,3,1,0.000643425937096,119.6493272781372,266115,87ab01fb-5bee-4ecc-9b11-b505e3a7a55c,True,completeness,0.8,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,0,0.8583423495292664,0.637499988079071,0.8583423495292664,1.0,1.0,0.672286331653595,0.5919271111488342,0.810786247253418,0.637499988079071,357,319,0.683083511777302,467,Sensor,3,1,0.0003946798295108,71.81590294837952,266115,15beb87b-75bd-4bbd-845e-7c3bc0b8c331,True,completeness,0.7,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,0,1.1410411596298218,0.6656249761581421,1.1410411596298218,1.0,1.0,0.676756739616394,0.6520833373069763,0.8185850381851196,0.6656249761581421,551,272,0.582441113490364,467,Sensor,3,1,0.0005495184534771,101.57432770729064,266115,4530ee41-ae14-4721-b7e1-040c3ba00af5,True,completeness,0.6,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,0,0.8972079753875732,0.5880208611488342,0.8972079753875732,1.0,1.0,0.6794155836105347,0.4117187559604645,0.7651587128639221,0.5880208611488342,333,237,0.5074946466809421,467,Sensor,3,1,0.0003057198833938,56.338712215423584,266115,25358a8a-4f05-460d-82f6-246ce2e403f0,True,completeness,0.5,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,0,1.200110673904419,0.532031238079071,1.200110673904419,1.0,1.0,0.5546070337295532,0.4906249940395355,0.7031561732292175,0.532031238079071,390,196,0.4197002141327623,467,Sensor,3,1,0.000287744491786,48.81443977355957,266115,d4535057-bbbf-4d64-ab92-0201030da0ce,True,completeness,0.4,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,0,3.866942644119263,0.5653645992279053,3.866942644119263,1.0,1.0,0.5663970708847046,0.5653645992279053,0.7043138742446899,0.5653645992279053,768,135,0.2890792291220557,467,Sensor,3,1,0.0005037736458968,100.17522525787354,266115,1f7ed74a-d49f-41e8-a26d-52e4021fc516,True,completeness,0.3,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,0,1.52943754196167,0.5020833611488342,1.52943754196167,1.0,1.0,0.5121883153915405,0.4760416746139526,0.6764803528785706,0.5020833611488342,441,90,0.1927194860813704,467,Sensor,3,1,0.0002164302396581,43.51826024055481,266115,414cb186-9e07-4a2a-a705-3453c967c1e4,True,completeness,0.2,uniform,166,1,SIMPLE_CNN,e11
RESNET,PhalangesOutlinesCorrect,time_series,0,0.7525057792663574,0.7995337843894958,0.7525057792663574,1.0,1.0,0.7995337843894958,0.7995337843894958,0.8840881586074829,0.7995337843894958,261,1623,0.9016666666666666,1800,Image,2,1,0.0009118052871004,134.7552502155304,506818,9b909aa2-f087-4c62-ad81-3697389dc7cd,True,completeness,0.9,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,0,0.7844040989875793,0.8135198354721069,0.7844040989875793,1.0,1.0,0.8135198354721069,0.8135198354721069,0.8696635365486145,0.8135198354721069,357,1450,0.8055555555555556,1800,Image,2,1,0.0010574957064052,163.45069313049316,506818,515bfdc3-d73e-45ff-8afa-44aec3ca4c9f,True,completeness,0.8,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,0,0.747200608253479,0.8275058269500732,0.747200608253479,1.0,1.0,0.8275058269500732,0.8275058269500732,0.8906826972961426,0.8275058269500732,295,1238,0.6877777777777778,1800,Image,2,1,0.0007797484354504,116.9700882434845,506818,e303bb05-b3d6-4d18-a0ca-35c6d91d07ad,True,completeness,0.7,uniform,80,1,RESNET,e11
