,model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
43,RESNET,CinCECGTorso,time_series,e11,1,uniform,completeness,0.3,1.6364998817443848,0.269565224647522,1.6364998817443848,0.7355072498321533,1.0,0.2512077391147613,0.1130434796214103,0.4933507740497589,0.269565224647522,202,14,0.35,40,Sensor,4,RESNET,1639,1,1,0.0002192534568115,34.536487102508545,507076,617f4054-e2fd-4b2c-8c70-30fb7958fbca,True
44,RESNET,CinCECGTorso,time_series,e11,1,uniform,completeness,0.2,1.3791587352752686,0.25,1.3791587352752686,0.7463768124580383,1.0,0.0,0.0,0.5499264597892761,0.25,181,10,0.25,40,Sensor,4,RESNET,1639,1,1,0.0001583866510338,25.20679020881653,507076,5f073469-ce81-4d2e-932d-36c469251fb2,True
45,MLP,CinCECGTorso,time_series,e11,1,uniform,completeness,1.0,0.8556072115898132,0.7355072498321533,0.8556072115898132,0.8557971119880676,1.0,0.8565928936004639,0.6449275612831116,0.875642716884613,0.7355072498321533,1346,40,1.0,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0004268302768591,91.50134658813477,1323004,6311c52d-d552-4b67-a528-eb69c84e4861,True
46,MLP,CinCECGTorso,time_series,e11,1,uniform,completeness,0.9,1.0007939338684082,0.6449275612831116,1.0007939338684082,0.8420289754867554,1.0,0.9158248901367188,0.3942028880119324,0.8259227871894836,0.6449275612831116,688,36,0.9,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0002846913055685,60.70562148094177,1323004,95ca5161-f74a-409b-a795-213d70f998ba,True
47,MLP,CinCECGTorso,time_series,e11,1,uniform,completeness,0.8,0.7979151010513306,0.7362318634986877,0.7979151010513306,0.939130425453186,1.0,0.7910959124565125,0.6695652008056641,0.8970644474029541,0.7362318634986877,2000,30,0.75,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0006625597774621,144.03122639656067,1323004,2ca4b8a3-fc6f-4eb3-bd40-630e8ce12db4,True
48,MLP,CinCECGTorso,time_series,e11,1,uniform,completeness,0.7,1.3806337118148804,0.2478260844945907,1.3806337118148804,0.7971014380455017,1.0,0.2558139562606811,0.0079710148274898,0.5688399076461792,0.2478260844945907,260,30,0.75,40,Sensor,4,SIMPLE_MLP,1639,1,1,8.63985548696174e-05,18.543065547943115,1323004,31d24ce3-3584-4487-984e-04f5ba0abd9b,True
49,MLP,CinCECGTorso,time_series,e11,1,uniform,completeness,0.6,0.956492841243744,0.7166666388511658,0.956492841243744,0.834782600402832,1.0,0.7895174622535706,0.6876811385154724,0.8734040260314941,0.7166666388511658,2000,24,0.6,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.000828179088853,178.72579956054688,1323004,e5e76a27-6755-4710-8c51-d9976f684642,True
50,MLP,CinCECGTorso,time_series,e11,1,uniform,completeness,0.5,1.540552258491516,0.2485507279634475,1.540552258491516,0.7217391133308411,1.0,0.270386278629303,0.0456521734595298,0.487615019083023,0.2485507279634475,327,14,0.35,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0001236260480156,26.942948579788208,1323004,438f2e1e-45b9-4cb1-b02d-d78793270672,True
51,MLP,CinCECGTorso,time_series,e11,1,uniform,completeness,0.4,1.558152198791504,0.2231884002685547,1.558152198791504,0.7369565367698669,1.0,0.2552631497383117,0.0702898576855659,0.476884126663208,0.2231884002685547,241,13,0.325,40,Sensor,4,SIMPLE_MLP,1639,1,1,8.783138087955475e-05,19.222132444381717,1323004,178f23ee-0a6d-4979-a832-71a3793af392,True
52,MLP,CinCECGTorso,time_series,e11,1,uniform,completeness,0.3,1.4372543096542358,0.4210144877433777,1.4372543096542358,0.7369565367698669,1.0,0.5102941393852234,0.2514492869377136,0.6127213835716248,0.4210144877433777,534,12,0.3,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0001885303675772,40.21846771240234,1323004,dcd67155-90d7-4eae-bc17-97a80aeb6f5b,True
53,MLP,CinCECGTorso,time_series,e11,1,uniform,completeness,0.2,1.681249499320984,0.4217391312122345,1.681249499320984,0.7362318634986877,1.0,0.5168776512145996,0.3550724685192108,0.6272189021110535,0.4217391312122345,2000,8,0.2,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0003769333847041,82.97316384315491,1323004,03f631aa-5baf-42f6-88c4-eb4bd6d0e8f2,True
54,FCN,CinCECGTorso,time_series,e11,2,uniform,completeness,1.0,1.8959975242614744,0.239130437374115,1.8959975242614744,0.7971014380455017,1.0,0.2644701600074768,0.2152173966169357,0.5675545334815979,0.239130437374115,264,40,1.0,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0001966071570227,30.85274720191956,266244,4a9b34c3-b3bf-4a37-8b52-a8799560436b,True
55,FCN,CinCECGTorso,time_series,e11,2,uniform,completeness,0.9,1.9259651899337769,0.2478260844945907,1.9259651899337769,0.75,1.0,0.2494529485702514,0.2478260844945907,0.5569667816162109,0.2478260844945907,256,35,0.875,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0002359381221645,33.26766347885132,266244,e7fbec67-70a3-4df1-b6dd-0d01f094edb8,True
56,FCN,CinCECGTorso,time_series,e11,2,uniform,completeness,0.8,1.0360320806503296,0.552173912525177,1.0360320806503296,0.9521738886833192,1.0,0.6194690465927124,0.4057970941066742,0.8156552910804749,0.552173912525177,460,31,0.775,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0003061481437022,48.4846625328064,266244,3292ce4b-454d-42c7-8530-7a2e6b47e8a6,True
57,FCN,CinCECGTorso,time_series,e11,2,uniform,completeness,0.7,1.7275880575180054,0.2485507279634475,1.7275880575180054,0.7963768243789673,1.0,0.3137255012989044,0.2202898561954498,0.5606703162193298,0.2485507279634475,262,32,0.8,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0002250465058427,32.42914438247681,266244,a78b7eb4-9f1e-4ad0-a20a-9881f2491832,True
58,FCN,CinCECGTorso,time_series,e11,2,uniform,completeness,0.6,1.799909591674805,0.3775362372398376,1.799909591674805,0.915217399597168,1.0,0.389885812997818,0.3463768064975738,0.6995360851287842,0.3775362372398376,502,22,0.55,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0003170601239729,58.19974112510681,266244,4340f5bd-406d-415e-bf3a-cfa8f4b6e274,True
59,FCN,CinCECGTorso,time_series,e11,2,uniform,completeness,0.5,4.780479431152344,0.3449275493621826,4.780479431152344,0.7463768124580383,1.0,0.3473848700523376,0.3224637806415558,0.619624137878418,0.3449275493621826,639,23,0.575,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0003985315390802,63.82454252243042,266244,ab787e72-35a5-4aba-b503-3cb600608afb,True
