model,dataset,dataset_type,iteration,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,dimensions,emissions_kg,duration,n_parameters,project_id,ready,data_quality_dimension,data_quality_dimension_percentage,experiment_method,datapoint_w,datapoint_h,experiment,model_type
CNN_BIG,CIFAR-10,images,1,0.6617404222488403,0.800000011920929,0.6617404222488403,0.9569000005722046,0.9878000020980836,0.827211320400238,0.7836999893188477,0.9721739888191224,0.8000000715255737,48,24911,0.49822,50000,Image,10,3.0,0.0008423982977695,124.46566486358644,552874,07165cea-fa5e-4000-b9a0-e482a5bada42,True,completeness,0.5,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,1,0.6949995756149292,0.7778000235557556,0.6949995756149292,0.9516000151634216,0.9861000180244446,0.8135501742362976,0.755299985408783,0.970722794532776,0.7778000235557556,46,19944,0.39888,50000,Image,10,3.0,0.0006364261725519,95.56522274017334,552874,04df5b8a-e5d1-41a7-93e1-766f4625a927,True,completeness,0.4,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,1,0.7561935186386108,0.7717999815940857,0.7561935186386108,0.949899971485138,0.9855999946594238,0.8008915185928345,0.7545999884605408,0.9667724967002868,0.7717999815940857,56,15070,0.3014,50000,Image,10,3.0,0.0006253987487499,89.25850296020508,552874,54d6d56f-088d-4d4d-9037-05551ff7a2cc,True,completeness,0.3,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,1,0.9235538244247437,0.7480999827384949,0.9235538244247437,0.9329000115394592,0.979300022125244,0.7738991975784302,0.7293999791145325,0.9539153575897216,0.7480999827384949,65,9896,0.19792,50000,Image,10,3.0,0.0004795737049489,70.31711339950562,552874,2eb7d4dc-a566-4985-96ed-467b07ef407f,True,completeness,0.2,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,2,0.3034806549549103,0.8966000080108643,0.3034806549549103,0.9914000034332277,0.9980000257492064,0.9087654948234558,0.8884999752044678,0.9923557639122008,0.8966000080108643,44,54114,0.9019,60000,Image,10,1.0,0.0004636067355182,67.36591792106628,20930,24b00225-e439-48c8-b52a-7215cdfbbda8,True,completeness,0.9,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,2,0.3400395512580871,0.8838000297546387,0.3400395512580871,0.9883000254631042,0.9983999729156494,0.8981443047523499,0.8712000250816345,0.9907759428024292,0.8838000297546387,40,48210,0.8035,60000,Image,10,1.0,0.0003819813181175,56.12295746803284,20930,b6cbd128-5c34-4631-894a-dd4d517f39e8,True,completeness,0.8,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,2,0.3377493023872375,0.8834999799728394,0.3377493023872375,0.9901000261306764,0.998199999332428,0.8967609405517578,0.8720999956130981,0.9908393621444702,0.8834999799728394,42,42245,0.7040833333333333,60000,Image,10,1.0,0.000352220032904,52.25261998176575,20930,beca4c19-cea1-40b9-ab22-d35a92f187fa,True,completeness,0.7,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,2,0.3655194640159607,0.8766000270843506,0.3655194640159607,0.9866999983787536,0.997099995613098,0.8907407522201538,0.8658000230789185,0.9896824955940248,0.8766000270843506,43,35815,0.5969166666666667,60000,Image,10,1.0,0.0002977879343662,46.481592655181885,20930,59bebe88-904b-422c-9be9-fb2597f7d23d,True,completeness,0.6,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,2,0.3651986718177795,0.8766999840736389,0.3651986718177795,0.9854999780654908,0.996999979019165,0.8940616846084595,0.8641999959945679,0.9897459149360656,0.8766999840736389,44,29920,0.4986666666666666,60000,Image,10,1.0,0.0002798245820757,40.52301406860352,20930,bf1c626f-1c5c-4e99-b289-e3f117efa7ed,True,completeness,0.5,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,2,0.3840231001377105,0.8712999820709229,0.3840231001377105,0.9861999750137328,0.9975000023841858,0.8850468397140503,0.8600000143051147,0.9888938665390016,0.8712999820709229,43,24127,0.4021166666666667,60000,Image,10,1.0,0.0002201765697018,31.76713752746582,20930,f235e6f9-6472-4511-916e-c45b783dbc69,True,completeness,0.4,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,2,0.4202418029308319,0.859000027179718,0.4202418029308319,0.9829999804496764,0.9965000152587892,0.8760236501693726,0.8450999855995178,0.987091898918152,0.859000027179718,43,17999,0.2999833333333333,60000,Image,10,1.0,0.0001644064458545,25.187090396881104,20930,2d5c9ffc-e518-487f-a690-1ce51220885e,True,completeness,0.3,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,2,0.437042236328125,0.8486999869346619,0.437042236328125,0.981599986553192,0.996399998664856,0.8690600991249084,0.830299973487854,0.9861235618591307,0.8486999869346619,42,12004,0.2000666666666666,60000,Image,10,1.0,0.0001264186301349,18.22162103652954,20930,d85f6427-4b2b-4321-90f6-21a3d738f2eb,True,completeness,0.2,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,2,0.5040239095687866,0.850600004196167,0.5040239095687866,0.9715999960899352,0.9926999807357788,0.8686638474464417,0.8379999995231628,0.9809754490852356,0.8505999445915222,57,44965,0.8993,50000,Image,10,3.0,0.0017923764870486,260.39231300354004,552874,5f96c3e7-a76f-4b65-a202-6e136e014bcc,True,completeness,0.9,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,2,0.5296789407730103,0.8493000268936157,0.5296789407730103,0.973900020122528,0.9926999807357788,0.8637908101081848,0.8389999866485596,0.9791157245635986,0.8493000268936157,61,40191,0.80382,50000,Image,10,3.0,0.0017258681964564,249.3343811035156,552874,88c7b254-a9ff-4e3f-a4be-b026e709fb2e,True,completeness,0.8,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,2,0.5527761578559875,0.8366000056266785,0.5527761578559875,0.9692000150680542,0.992799997329712,0.8571428656578064,0.8220000267028809,0.9784052968025208,0.8366000056266785,52,34958,0.69916,50000,Image,10,3.0,0.0012765136443189,185.62325596809387,552874,56086c94-0e85-4b64-975c-6387ffc280a1,True,completeness,0.7,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,2,0.5953025221824646,0.8277999758720398,0.5953025221824646,0.962499976158142,0.991100013256073,0.8480841517448425,0.8144999742507935,0.9763067364692688,0.8277999758720398,57,30252,0.60504,50000,Image,10,3.0,0.001233884296407,176.8972773551941,552874,7f900f41-1dcd-4f4e-91e4-e90b74c1da89,True,completeness,0.6,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,2,0.6063360571861267,0.8079000115394592,0.6063360571861267,0.9593999981880188,0.988099992275238,0.8349925875663757,0.7883999943733215,0.9761059880256652,0.8079000115394592,50,24967,0.49934,50000,Image,10,3.0,0.0008842676163001,130.3680431842804,552874,66bf059b-9d6c-4352-b227-905415a11d68,True,completeness,0.5,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,2,0.6810266375541687,0.7827000021934509,0.6810266375541687,0.9502999782562256,0.9851999878883362,0.8178076148033142,0.7549999952316284,0.972171187400818,0.7827000021934509,47,19944,0.39888,50000,Image,10,3.0,0.0006410286651681,97.41651725769044,552874,0b5dccc3-73f2-48d6-b5a7-a13f8ec4ed17,True,completeness,0.4,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,2,0.7623279690742493,0.7627999782562256,0.7623279690742493,0.9484999775886536,0.9843999743461608,0.7937224507331848,0.7383999824523926,0.9655222296714784,0.7627999782562256,53,14923,0.29846,50000,Image,10,3.0,0.0005685158194274,83.21445441246033,552874,c84fb32d-b53e-4b2c-a9dd-6bffd5614799,True,completeness,0.3,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,2,0.8774923086166382,0.7175999879837036,0.8774923086166382,0.929199993610382,0.9763000011444092,0.7639043927192688,0.6840000152587891,0.9573112726211548,0.7175999879837036,47,10101,0.20202,50000,Image,10,3.0,0.0003617207773519,53.00144672393799,552874,202f8b65-3307-4be8-83e2-c40a5e00263b,True,completeness,0.2,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,3,0.3287537097930908,0.890500009059906,0.3287537097930908,0.9908000230789183,0.9980999827384948,0.9014516472816468,0.8817999958992004,0.9909278154373168,0.890500009059906,47,54024,0.9004,60000,Image,10,1.0,0.0004829297336067,72.04159283638,20930,1cb1faf0-1e88-4a3f-a20f-9ac55367d8e0,True,completeness,0.9,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,3,0.3099029064178467,0.8927000164985657,0.3099029064178467,0.9882000088691713,0.9977999925613404,0.907187819480896,0.8797000050544739,0.9927262663841248,0.8927000164985657,37,47932,0.7988666666666666,60000,Image,10,1.0,0.0003515872801509,51.97644996643066,20930,5bd236ca-bcd1-4600-876b-4b83c430468f,True,completeness,0.8,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,3,0.3240683078765869,0.8873000144958496,0.3240683078765869,0.9890999794006348,0.998199999332428,0.9029889106750488,0.8730999827384949,0.9917231798171996,0.8873000144958496,41,42084,0.7014,60000,Image,10,1.0,0.0003297817640591,49.99444890022278,20930,722e3e5c-1024-40d0-8161-60529ef7bc74,True,completeness,0.7,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,3,0.3384809792041778,0.8842999935150146,0.3384809792041778,0.9890000224113464,0.9979000091552734,0.8965339660644531,0.8716999888420105,0.9908225536346436,0.8842999935150146,42,36112,0.6018666666666667,60000,Image,10,1.0,0.0003006245285037,46.59812450408936,20930,bfbdf023-dd87-42fb-b4af-050729ca212f,True,completeness,0.6,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,3,0.3776969611644745,0.8712999820709229,0.3776969611644745,0.9868999719619752,0.9965000152587892,0.8877182006835938,0.8593999743461609,0.989173710346222,0.8712999820709229,44,30210,0.5035,60000,Image,10,1.0,0.0002648728496466,39.65130591392517,20930,1b0745df-b22e-4317-9f43-206074148cff,True,completeness,0.5,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,3,0.3695262968540191,0.8738999962806702,0.3695262968540191,0.9853000044822692,0.9973999857902528,0.8912142515182495,0.8601999878883362,0.989368736743927,0.8738999962806702,41,24111,0.40185,60000,Image,10,1.0,0.0002103136247133,30.388793230056763,20930,a9e7baa7-502f-498b-a6a1-6a737e02d072,True,completeness,0.4,uniform,28.0,28.0,e11,SIMPLE_CNN
